key,value
flyingbaker.com,2a02:2268:ffff:ffff::4
d177y68h0cpr2q.cloudfront.net,2600:9000:2013:ec00:1b:197c:5480:93a1
jacksonmobileglass.org,2001:4860:4802:38::15
dch0afs67dtxm.cloudfront.net,2600:9000:202d:7e00:1c:f8a5:f280:21
miekevaningen.nl,2a01:238:20a:202:1074::
poafr.xyz,2400:cb00:2048:1::681f:4c33
design-fleck.com,2a01:238:20a:202:1144::
ns2.01d.eu,2a00:dd0:0:17::4
casinovulkan2.win,2400:cb00:2048:1::681c:181c
beton-und-naturstein-wolf.de,2a01:238:20a:202:1158::
190.208.65.94,190.208.65.94
lukashoesch.com,2a01:238:20a:202:1093::
hinoki.com.ua,2a03:b0c0:3:d0::29f0:8001
piqa.de,2a01:238:20a:202:1105::
youthfulelegantallure.com,2400:cb00:2048:1::681b:8744
omc-netline.com,2400:cb00:2048:1::681b:b180
nickolmann.de,2003:2:2:15:80:150:6:143
andaman.carbonmade.com,2600:9000:202d:3e00:2:f21c:cd00:93a1
tribecalegal.com,2404:8280:a222:bbbb:bba1:9:ffff:ffff
www.chainstoreage.com,2400:cb00:2048:1::6811:669e
frostsgardencentres.com,2001:8d8:1000:c3c3:34f2:ab6d:6cfd:e800
fitline-sports.de,2001:8d8:100f:f000::279
mail.godfrieddevries.nl,2001:828:452::103:18
abisekt.de,2a01:488:42:1000:50ed:847a:ff9e:657a
hermesoutletonline727610.webs.com,2400:cb00:2048:1::6810:5a78
dunkelraum.de,2a00:1158:2d:300::90
biotechcoverage.de,2a01:238:20a:202:1156::
l9uht6.top,2400:cb00:2048:1::6818:6de8
zps-diving.sk,2001:1ba0:2a0:5965:0:31:60:1
institutoima.org,2400:cb00:2048:1::681c:1241
mail.minckoosterveer.com,2001:67c:28fc:195:20:9:14:0
thedetoxguide.net,2400:cb00:2048:1::6812:256f
108.62.238.41,108.62.238.41
c258701d315f79e3a34b704b6548d000a.cjb.com,2607:5300:60:1131::1
mind-model.info,2001:8d8:1000:402e:1acd:de11:f5ab:880c
pdfgratuits.site,2400:cb00:2048:1::681c:1753
verstraetendesign.com,2a00:4e40:1:1::2:203
happyling.ru,2a00:15f8:a000:5:1:14:5:5833
icois.de,2a01:238:20a:202:1074::
portugal-visite.com,2001:8d8:100f:f000::2ae
ber-mond.com,2a01:238:20a:202:1084::
driesverhoeven.com,2a02:348:7b:c40f::1
4530.hostserv.eu,2001:1680:101:201::1
starters.koeln,2001:4dd0:100:1f00:80:0:80:1
dakuweb.com,2a01:488:42:1000:50ed:84b3:28:3ddb
iiiixf.com,2400:cb00:2048:1::6818:70f2
d16o8vc0mjiiqn.cloudfront.net,2600:9000:2013:f200:17:6a0e:97c0:93a1
dumpsterrentalleessummitmo.com,2400:cb00:2048:1::681f:5454
snowbirdsoftware.com,2602:ffb6:2:0:f816:3eff:fea1:5bf6
rsvts.de,2001:8d8:100f:f000::286
pallaviboutique.com,2607:f1c0:100f:f000::2c0
fattony.smartcircles.de,2a01:4f8:c17:7450::2
interblock.ru,2a00:15f8:a000:5:1:13:0:5e4d
kleiner-milchweg.info,2a01:238:20a:202:1093::
schaalseefischerei.de,2a01:238:20a:202:1149::
skin-carespot.sale,2400:cb00:2048:1::681b:906d
dxwd5209y8tpk.cloudfront.net,2600:9000:202d:0:12:3cbb:9a00:93a1
shop2site.webs.com,2400:cb00:2048:1::6810:5a78
chiropracticclinic.clinic,2001:4860:4802:34::15
carvin-sophrologie-marseille.com,2a01:e0d:1:2:58bf:f9b6:0:1
www.goldenlushglitz.com,2400:cb00:2048:1::681c:111d
www.idealenkompas.nl,2400:cb00:2048:1::681c:1775
hartglobalmedical.com,2001:4860:4802:34::15
coupmailing.wang,2400:cb00:2048:1::6818:70d7
mail.westhoff.tv,2a06:2ec0:1::88
mail.stevenbolgartersnakes.com,2a03:3c00:a002:207::1000
neomoviles.com,2400:cb00:2048:1::6812:3b6a
c65c07f18221a83be264ea8cd12cb16dc.cjb.com,2607:5300:60:1131::1
halifax.ihollaback.org,2400:cb00:2048:1::681c:1441
www.pmcsvet.com,2400:cb00:2048:1::6818:61c7
d2g39t29z74q9l.cloudfront.net,2600:9000:20d3:1200:b:8810:3e40:93a1
tja-data.dk,2a01:4f8:191:622e::2
urncape.com,2001:8d8:1000:c1:48ed:d093:123a:2a
telemodula.de,2a01:238:20a:202:1146::
shin-fu.com,2400:cb00:2048:1::681c:1d27
perceptionlandcare.com,2400:cb00:2048:1::6811:c449
harlemvalley.tech,2a00:4e40:1:1::2:207
carinjacksonrealestate.com,2400:cb00:2048:1::681c:14f4
gaudiumtrack-914.com,2400:cb00:2048:1::681c:1dde
saffronstays.com,2400:cb00:2048:1::6819:5d11
m2210.ircam.fr,2001:660:3004:64:50:2dc7:f2bb:8d1b
d1woe4n2nzhct4.cloudfront.net,2600:9000:20d3:800:9:d8fe:8600:93a1
windypasstures.com,2400:cb00:2048:1::6819:933e
singlesgrup.com,2400:cb00:2048:1::681b:b717
redbussecondarydns.morphicresonance.org,2001:67c:38c::e8
vanyar.de,2a01:238:20a:202:1151::
simplelifestyle.win,2400:cb00:2048:1::681b:881f
rotgansscheepsadvies.nl,2001:1af8:4700:a0a0::8
www.arparamed.com,2607:f1c0:1000:209f:73ca:5529:280c:601e
djiexperiencestore.com,2400:cb00:2048:1::681b:9542
dupmthepump.com,2607:f1c0:1000:6052:9494:4771:fe4:402a
engineers.zone,2607:f298:5:104f::dc9:ee58
deleted-files.net,2400:cb00:2048:1::681b:ac7b
li853-154.members.linode.com,2400:8901::f03c:91ff:fe16:b712
klachtensysteem.nl,2001:41f0:405d:50::20
langerp9.vpn.univie.ac.at,2001:62a:4:31:77:80:40:25
servispc.de,2a01:238:20a:202:1084::
thurm-yachttransporte.de,2a01:238:20a:202:1064::
architekturbuero-jan-luebeck.de,2a00:1158:1000:300::146
www.on2sale.com,2400:cb00:2048:1::6818:779d
204.227.64.5,204.227.64.5
tatkanadei.ru,2a06:dd00:1:4::2
yearbooks.dk,2a01:5b40:0:4070::1
wilddakotawoman.com,2001:4860:4802:34::15
ekgkoshertravel.com,2607:f1c0:100f:f000::2c9
www.scandinaviandesigncenter.dk.cdn.cloudflare.net,2400:cb00:2048:1::6810:42ae
sc-bruckberg.de,2a01:238:20a:202:1160::
palikana.net,2001:4860:4802:36::15
thefunkokids.com,2001:4860:4802:38::15
lolfashionclub.com,2001:4860:4802:34::15
hoosearch.com,2400:cb00:2048:1::6812:2aa5
kfitnessyyc.com,2400:cb00:2048:1::6810:cc2
bareacross.com,2001:4860:4802:32::15
mizanbranda.com,2400:cb00:2048:1::681f:4e9a
beckerm.caelum.uberspace.de,2001:1a50:11:0:5f:8f:acd4:1f5
examtest.cm,2001:8d8:100f:f000::2af
tristatebigfoot.com,2400:cb00:2048:1::6810:58e6
tula-svai.ru,2a03:6f00:1::5c35:6057
50302.calopad.com,2a00:d70:0:a::166
ns1.ru.eserver.net,2a04:b540:1000::8
www.catholic-russia.ru,2a00:15f8:a000:5:1:12:5:1e07
mariamism.storenvy.com,2400:cb00:2048:1::6810:5e15
68.65.206.24.ns.smart-dns.net,2a07:7800::151
onlinecasinogamblingsite.net,2400:cb00:2048:1::681b:8dd4
www.ibpallets.com.au,2400:cb00:2048:1::6818:798b
dreambeautyagain.com,2400:cb00:2048:1::681c:18f1
hovershift.com,2001:4860:4802:36::15
uniqpr.org,2a00:1158:1000:300::525
d1mljw5nmvbqic.cloudfront.net,2600:9000:2145:800:15:e2a8:7d00:93a1
li650-173.members.linode.com,2600:3c03::f03c:91ff:fe69:5a5d
224-93.ivcdon.net,2a00:ab00:4300:1df::2
atelierkleiber.de,2a01:238:20a:202:1084::
karenmakes.com,2001:4860:4802:36::15
fashion440.net,2001:8d8:1000:b0f0:cff4:3a6d:f305:3037
meroclinic.com,2607:f1c0:100f:f000::22c
fleetwoodmacchiato.com,2a00:fd80:aaaa:aaaa:1::1
gdrive.ovh,2001:41d0:301::21
panicattacksadt.science,2400:cb00:2048:1::681b:bcae
partnerki-otzyvy.com,2a00:7a60:0:100d::1
sistemasctdr.com,2001:4860:4802:32::15
v133-130-110-120.a039.g.tyo1.static.cnode.io,2400:8500:1301:745:133:130:110:120
barr-associates.com,2400:cb00:2048:1::681c:d18
vastnedmanagement.com,2a01:7c8:3:1337::27
redbusprimarydns.oceantows.com,2001:67c:38c::e7
autocontr.ru,2a03:6f00:1::5c35:6016
katiejeanpayne.webs.com,2400:cb00:2048:1::6810:5878
tdcleaf.ru,2a00:15f8:a000:5:1:11:3:3888
netbsd-004.lncsa.com,2a02:27d0:0:ffff:dead:beef:0:104
pusher.custom-coding.net,2400:cb00:2048:1::681f:5a7f
southaustinneurology.com,2400:cb00:2048:1::6811:c049
mail.asteq.com.ar,2604:a880:800:10::606:5001
togorecording.com,2001:67c:38c::64
undergroundcandles.com,2001:4860:4802:36::15
pasquini.gallery,2607:f1c0:1000:803e:d0d4:a4cc:a8b1:202a
buylevitraonlineus.com,2400:cb00:2048:1::681f:4ea6
www.3fdc4.2013.calopad.com,2a00:d70:0:a::166
tillmayer.com,2a01:238:20a:202:1070::
loftushearingservices.com,2001:8d8:100f:f000::292
pk-2-007-sas2.nodes.pk.yandex-team.ru,2a02:6b8:0:1a7e:a9e:1ff:fee9:ddaa
jadorecannesoderwheresmyfuckinguccishoetree.com,2a01:238:20a:202:1159::
mygreaterthanis.com,2607:f1c0:100f:f000::25a
blacknova.tech,2400:cb00:2048:1::681b:82f7
li418-123.members.linode.com,2600:3c00::f03c:91ff:fe6e:42f4
copanbackup.com,2a01:4f8:d16:138c::2
rainbowball.org,2001:630:212:700:1001::1
gutschrift-magazin.de,2001:8d8:100f:f000::278
ismb.mobi,2a01:238:20a:202:1092::
uprintize.com,2001:8d8:100f:f000::24b
hotel-america-mallorca.de,2a00:1158:400:405::168
oyomare.com,2001:4860:4802:32::15
507191.com,2400:cb00:2048:1::6812:320f
mail.naub.org.ua,2a00:7a60:0:10a7::1
webhosterinfo.de,2a00:1158:400:407::481
hansa-vieh.de,2a01:238:20a:202:1086::
mail.capelsefestiviteiten.nl,2a01:7c8:ec:0:149:210:195:143
mcputz.de,2001:8d8:1000:50fb:53e2:1a52:4034:38
shphotographynyc.com,2607:f1c0:100f:f000::2c7
d3m8dmpelbkrzl.cloudfront.net,2600:9000:20d3:fc00:0:1a52:6c40:93a1
dale-harris.webs.com,2400:cb00:2048:1::6810:5878
posttheatre.org,2607:f1c0:100f:f000::2d3
elgwv.nl,2a00:4e40:1:1::2:109
s586806549.online.de,2001:8d8:100f:f000::21e
14138.nl,2a00:d00:3:6::133
52934c26551a6de50580f29102bacdeaf.cjb.com,2607:5300:60:1131::1
dolcegals.com,2001:4860:4802:34::15
laserfrontiers.com,2001:4860:4802:38::15
zipstrr.de,2a01:4f8:141:6227:7c28:6962:3339:43ae
listrovaya.ru,2400:cb00:2048:1::681f:5b03
texastmstherapy.com,2607:f1c0:100f:f000::286
dolmetschertechnik-berlin.de,2a00:1158:400:405::1b5
malaysiapractice.loan,2400:cb00:2048:1::681b:a874
videobodavalencia.com,2001:8d8:1000:d216:a330:7a9:dd29:1024
pdhxn7y2klxz1igh.myfritz.net,2003:c5:d3bf:4a:3a10:d5ff:fee2:9ddc
sesamestreetbox.com,2001:4860:4802:32::15
lo0.dist01.kbhs1.seas-nve.net,2a02:17c0::95:175
win8-1-05.cstcis.cti.depaul.edu,2620:0:2250:2109:3446:d006:ee41:f888
87b368f8f1510f7cd35cc9f97784d24f1.cjb.com,2607:5300:60:1131::1
calvinreid3.com,2607:f1c0:1000:603e:7054:6e63:4e11:181e
www.thamtu.com,2400:cb00:2048:1::681c:c7a
gene2disease.com,2001:8d8:1000:5025:fdf6:9751:22dd:d0e1
noleggiorobot.com,2a01:9cc0:47:3:1a:7:0:37
vps01.carfantasy.nl,2a00:1e28:3:1838::1
the-escape-agency.com,2001:41d0:1:1b00:213:186:33:40
castelme904prod.dxcloud.episerver.net.cdn.cloudflare.net,2400:cb00:2048:1::6810:5539
d23yt6onoiiq4w.cloudfront.net,2600:9000:202d:1000:b:b51d:b400:93a1
gimnaziunimereuca.com,2a0a:d580:800::18
nuansa77.com,2400:cb00:2048:1::681b:a527
jambosh.cz,2001:1528:123:123::60
190.208.146.16,190.208.146.16
grafik-gestalten.de,2a01:238:20a:202:1073::
mr-bruno-usa.com,2607:f1c0:1000:d3:95aa:44e0:8048:d825
andromeda-uitgeverij.nl,2a00:4e40:1:1::2:20c
encensdequalite.net,2a01:e0d:1:2:58bf:f9b7:0:1
gentle-giants.org,2607:f1c0:100f:f000::298
alexhadfield.carbonmade.com,2600:9000:202d:6000:2:f21c:cd00:93a1
rubix-os.org,2400:cb00:2048:1::681c:707
westlakeohiopetsitter.com,2400:cb00:2048:1::6811:c949
africfashiononline.com,2001:67c:38c::65
redbussecondarydns.activityradio.net,2001:67c:38c::e8
re-bergmann.de,2a01:238:20a:202:1082::
booqstore.com,2001:828:452::103:18
www.coupongrab.in,2400:cb00:2048:1::6812:3488
youthsummit2016.org,2a00:1158:1000:404::265
garajava.com,2a01:9cc0:0:3:1a:2:0:128
onlineoemsoftfastj.today,2400:cb00:2048:1::6818:717b
still-ill.com,2001:8d8:1000:60c6:fc5b:311:ede2:2887
infinii7.com,2001:4860:4802:34::15
e1dd43c267c51d9110521b87d7f3bbaf4.cjb.com,2607:5300:60:1131::1
www.85880.2013.calopad.com,2a00:d70:0:a::166
studium-alfa.com,2001:4860:4802:34::15
189.87.226.46.arpa.netbuild.net,2a02:420:0:1::102
zhumadianorganic.com,2001:67c:38c::65
redbusprimarydns.geophysicalhistory.com,2001:67c:38c::e7
victory.org.ph,2400:cb00:2048:1::681b:7d24
haveabetterfuture.com,2400:cb00:2048:1::681b:989f
s18195246.onlinehome-server.info,2001:8d8:8a2:200::77:268d
738a2879c1cc48cfd483bba1b271ce5af.cjb.com,2607:5300:60:1131::1
twinsensor.com,2a02:21d0::65:1:176
1413199.com,2400:cb00:2048:1::681b:91c9
persuadeyourwife.com,2001:8d8:1000:205e:e2a8:dcb3:7fd8:205a
tajmahal-richmond.co.uk,2400:cb00:2048:1::681b:bde1
alwaysamazing.club,2400:cb00:2048:1::681f:44c6
olaf-grady.de,2003:2:2:15:80:150:6:143
infocoucheslavables.com,2607:5300:60:1da5::bebe:6
ontodynamics.com,2400:cb00:2048:1::681c:12d0
bigonegameiwin0220.yolasite.com,2400:cb00:2048:1::6810:a3d7
akmnahid.com,2400:cb00:2048:1::681b:a954
golconde64.softether.net,240d:1a:618:d00:c8a7:fb6e:8612:6cf0
jobsolutions.net,2400:cb00:2048:1::681b:8421
cxman.com,2607:f1c0:1000:102e:a12e:a93b:7ad9:e836
central-reisebuero.com,2a01:238:20a:202:1093::
rockagainstwar.nl,2a00:1478:200:0:f:1018:0:1